ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20,line21,line22,,line23,line24,line25,
0,0,Colombo Fort,Colombo Fort,Negombo,Colombo Fort,Mawanella,Colombo Fort,Colombo Fort,Colombo Fort,Nawam Mawatha,Negombo,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Chilaw,Chilaw,Colombo Fort,Hatton,Colombo Fort,Colombo Fort,,Colombo Fort,Kandy,Colombo Fort,
1,30,Maligawatta,Galleface,Thelwatta,Maligawatta,Anwaram,Maligawatta,Maligawatta,Maligawatta,Glass House,Thelwatta,Maligawatta,Galleface,Gamini Hall,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Merawala,Merawala,Jethawanaramaya Temple,Malliyapu Junction,Maligawatta,Maligawatta,,Maligawatta,Mahaiyawa B.M.C Junction,Maligawatta,
2,38,Kelanitissa,Kollupitiya,Kuurana,Kelanitissa,Uthuwankanda,Kelanitissa,Kelanitissa,Kelanitissa,Race Course,Kuurana,Kelanitissa,Kollupitiya,Town Hall,Thotalanga,Thotalanga,Thotalanga,Thotalanga,Thotalanga,Kaakkapalliya,Kaakkapalliya,Thotalanga,Dimale,Kelanitissa,Kelanitissa,,Kelanitissa,Katugastota,Kelanitissa,
3,50,4th Milepost,Bambalapitiya,20th Milepost,4th Milepost,Mangalagama,4th Milepost,4th Milepost,4th Milepost,Jaawatta,20th Milepost,4th Milepost,Bambalapitiya,Thimbirigasyaya,Peliyagoda,Peliyagoda,Peliyagoda,Peliyagoda,Peliyagoda,Pammbala,Pammbala,Peliyagoda,Woodland Bazaar,4th Milepost,4th Milepost,,4th Milepost,4th Lane ,4th Milepost,
4,61,Thorana Handiya,Wellawatta,18th Milepost,Thorana Handiya,Molagoda,Thorana Handiya,Thorana Handiya,Thorana Handiya,Borella,18th Milepost,Thorana Handiya,Wellawatta,Kirulapone,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Galahitiyawa Handiya,Galahitiyawa Handiya,Wattala Postoffice,Kuilwatte,Thorana Handiya,Thorana Handiya,,Thorana Handiya,Ambathenna ,Thorana Handiya,
5,73,University of Kelaniya,Dehiwala,Awariwatta,University of Kelaniya,Karandupotha,University of Kelaniya,University of Kelaniya,University of Kelaniya,Dematagoda,Awariwatta,University of Kelaniya,Dehiwala,Nugegoda,Maabola,Maabola,Maabola,Maabola,Maabola,Madampe,Madampe,Maabola,Rossella,University of Kelaniya,University of Kelaniya,,University of Kelaniya,Akurana Town,University of Kelaniya,
6,84,Kiribathgoda,Mt.Lavinia,Naikanda,Kiribathgoda,Meepitiya,Kiribathgoda,Kiribathgoda,Kiribathgoda,Kelanitissa,Naikanda,Kiribathgoda,Mt.Lavinia,Delkanda,Mahabage,Mahabage,Mahabage,Mahabage,Mahabage,Mahawewa,Mahawewa,Mahabage,Watawala Sinhala Vidyalaya,Kiribathgoda,Kiribathgoda,,Kiribathgoda,Akurana 7th Milepost,Kiribathgoda,
7,96,Mahara,Rathmalana,Aadiambalama Handiya,Mahara,Kegalle,Mahara,Mahara,Mahara,4th Milepost,Aadiambalama Handiya,Mahara,Rathmalana,Nawinna,Kandana ,Kandana ,Kandana ,Kandana ,Kandana ,Thalwila,Thalwila,Kandana ,Watawala,Mahara,Mahara,,Mahara,8th Milepost,Mahara,
8,99,Kadawatha,Katubedda,Peellawatta,Kadawatha,Ranwala Handiya,Kadawatha,Kadawatha,Kadawatha,Thorana Handiya,Peellawatta,Kadawatha,Katubedda,Maharagama,Kapuwatta,Kapuwatta,Kapuwatta,Kapuwatta,Kapuwatta,Marawila,Marawila,Kapuwatta,Karalina,Kadawatha,Kadawatha,,Kadawatha,Alawathugoda,Kadawatha,
9,107,Gonahena,Moratuwa,Yatiyana,Gonahena,Ambanpitiya,Gonahena,Gonahena,Gonahena,University of Kelaniya,Yatiyana,Gonahena,Moratuwa,Pannipitiya,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Marawila Hospital,Marawila Hospital,Ja-Ela Bus Stand,Diyagala Junction,Gonahena,Gonahena,,Gonahena,Balakaduwa Junction ,Gonahena,
10,115,Indigahamulla,Koralawella,Minuwangoda Bus Stand,Indigahamulla,Galigamuwa,Indigahamulla,Indigahamulla,Indigahamulla,Kiribathgoda,Minuwangoda Bus Stand,Indigahamulla,Koralawella,Kottawa,Thudella,Thudella,Thudella,Thudella,Thudella,Katuneriya,Katuneriya,Thudella,Kadawala Tamil Vidyalaya,Indigahamulla,Indigahamulla,,Indigahamulla,Warakamuuna,Indigahamulla,
11,122,Kirillawala,Egodauyana,Waagowwa Handiya,Kirillawala,Ballapana Handiya,Kirillawala,Kirillawala,Kirillawala,Mahara,Waagowwa Handiya,Kirillawala,Egodauyana,Makumbura,Dandugama,Dandugama,Dandugama,Dandugama,Dandugama,,,Dandugama,Ginigathhena Council,Kirillawala,Kirillawala,,Kirillawala,Aelwala Junction,Kirillawala,
12,128,Trackmo Handiya,Aluth Palama,Pamunuwa Handiya,Trackmo Handiya,Siyambalapitiya,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya,Kadawatha,Pamunuwa Handiya,Trackmo Handiya,Aluth Palama,Homagama,Seeduwa,Seeduwa,Seeduwa,Seeduwa,Seeduwa,Wennappuwa,Wennappuwa,Seeduwa,Ginigathhena,Trackmo Handiya,Trackmo Handiya,,Trackmo Handiya,Hospital Junction,Trackmo Handiya,
13,136,Mudungoda,Panadura,Dewalapola Handiya,Mudungoda,Batapolathanna,Mudungoda,Mudungoda,Mudungoda,Gonahena,Dewalapola Handiya,Mudungoda,Panadura,Panagoda Army Camp,Liyanagemulla,Liyanagemulla,Liyanagemulla,Liyanagemulla,Liyanagemulla,Dummalldeniya,Dummalldeniya,Liyanagemulla,Bagathuluwa Pansala,Mudungoda,Mudungoda,,Mudungoda,Mathale,Mudungoda,
14,143,Miriswatta,Nalluruwa Handiya,Walpitamulla,Miriswatta,Nelumdeniya,Miriswatta,Miriswatta,Miriswatta,Indigahamulla,Walpitamulla,Miriswatta,Nalluruwa Handiya,Godagama,18th Milepost,18th Milepost,18th Milepost,18th Milepost,18th Milepost,Nainamadama,Nainamadama,18th Milepost,Ambagamuwa Pansala,Miriswatta,Miriswatta,,Miriswatta,Alu Viharaya,Miriswatta,
15,149,Yakkala,Thalpititya,Naiwala Handiya,Yakkala,Gasnawawatta Handiya,Yakkala,Yakkala,Yakkala,Kirillawala,Naiwala Handiya,Yakkala,Thalpititya,Naduhena,20th Milepost,20th Milepost,20th Milepost,20th Milepost,20th Milepost,Waikkala,Waikkala,20th Milepost,Balanthota Bodhirukkharama Viharaya,Yakkala,Yakkala,,Yakkala,Thotagamuwa,Yakkala,
